1850253867554074953	RinStef3	'#DeepFake Lying #Kamala. #McDonalds'	2024-10-26 19:11:12	deep fake lying kamala mc donalds	#DeepFake #Kamala #McDonalds
1850254772961706186	ProHumanity76	'@mtgreenee Thank you for reposting this!!! Spread the truth #TruthMatters #Trump #Kamala'	2024-10-26 19:14:48	mtgreenee thank reposting spread truth matters trump kamala	#TruthMatters #Trump #Kamala
1850255019628769526	NunoG_Rodrigues	'Great interview, Joe Rogan is a great communicator, would love to watch Kamala on his podcast too. https://t.co/BZUruyXLiv #Trump #Kamala #JoeRogan #ElClasico #RealMadrid #laliga #UFC308 #GigExecs #PremierLeague #Barcelona #RMABARCA'	2024-10-26 19:15:47	great interview joe rogan communicator would love watch kamala podcast trump el clasico real madrid laliga u f c gig execs premier league barcelona r b	#Trump #Kamala #JoeRogan #ElClasico #RealMadrid #laliga #UFC308 #GigExecs #PremierLeague #Barcelona #RMABARCA
1850255097508274485	CleorinneC66364	'@BlackBondPtv La mère de #Beyonce 😳 #Kamala #trump https://t.co/efOpBu7gnW'	2024-10-26 19:16:05	blackbondptv la mre de beyonce kamala trump	#Beyonce #Kamala #trump
1850255201938161720	Wirtz11	'@telediario_tve @AnaBaquerizo #GenocideinGaza Con el Apoyo de #Kamala y #Biden'	2024-10-26 19:16:30	telediariotve anabaquerizo genocidein gaza con el apoyo de kamala biden	#GenocideinGaza #Kamala #Biden
1850255568298274944	workhousepr	'Politically Correct. Vote @KamalaHarris #Kamala https://t.co/cYpLc5cBAx'	2024-10-26 19:17:58	politically correct vote kamalaharris kamala	#Kamala
1850255745633140870	Johnny2American	'Wow. Cringe. #kamala #x #politics https://t.co/uv5u5qWJ3d'	2024-10-26 19:18:40	wow cringe kamala x politics	#kamala #x #politics
1850255861257474499	Tbrighton7	'@PopBase Oh #Kamala you just lost my vote with this…&amp; I’m serious. 🇺🇸🇺🇸🇺🇸'	2024-10-26 19:19:08	popbase oh kamala lost vote thisamp im serious	#Kamala
1850255867742220417	Cryptstronaut	'What a horrible group of people. #KamalaHarris2024 #KamalaCaresForUS #Kamala #TrumpVance2024 https://t.co/mSOIp2mwSa'	2024-10-26 19:19:09	horrible group people kamala harris cares u trump vance	#KamalaHarris2024 #KamalaCaresForUS #Kamala #TrumpVance2024
1850255900604584307	AnthonyKort	'This is unacceptable! #whoisshe #liberals #Demoncrats #Kamala #KamalaHarris2024 @KamalaHarris @DonaldJTrumpJr @elonmusk @realDonaldTrump https://t.co/K17jn7hIfa'	2024-10-26 19:19:17	unacceptable whoisshe liberals demoncrats kamala harris kamalaharris donaldjtrumpjr elonmusk realdonaldtrump	#whoisshe #liberals #Demoncrats #Kamala #KamalaHarris2024
1850256377324933329	HerminioRay	'Why do leftists always threaten to leave the USA for Canada, but never Mexico? #Trump #Trump2024 #Trump2024Vance #Kamala #Harris_Walz2024'	2024-10-26 19:21:11	leftists always threaten leave usa canada never mexico trump vance kamala harris walz	#Trump #Trump2024 #Trump2024Vance #Kamala #Harris_Walz2024
1850256536972476572	Hatchett_MeganB	'@DefiyantlyFree That line up is outstanding! Much better than the Diddy list of endorsements coming from #Kamala'	2024-10-26 19:21:49	defiyantlyfree line outstanding much better diddy list endorsements coming kamala	#Kamala
1850256620980453866	dpoliticscomic	'Launching tonight: #kamala has three problems more at https://t.co/moZzSVhEfD #politics #comics #Memes https://t.co/6ATBOAroCa'	2024-10-26 19:22:09	launching tonight kamala three problems politics comics memes	#kamala #politics #comics #Memes
1850256685681549661	OptionsGenZ	'This is exactly how it would go 🤣#Kamala'	2024-10-26 19:22:24	exactly would go kamala	#Kamala
1850256719261376843	OkaneInfinite	'#kamala #HarrisWalz2024'	2024-10-26 19:22:32	kamala harris walz	#kamala #HarrisWalz2024
1850256747879186625	LatamP0P	'Una seguidora y partidaria de Kamala Harris está recibiendo el hate que se merece por gritarle a una niña en un cochecito. ¿Es el socialismo una enfermedad mental? 😠 . #KamalaHarris #EstadosUnidos #Kamala https://t.co/Mia6XI4SeY'	2024-10-26 19:22:39	una seguidora partidaria de kamala harris est recibiendo el hate que se merece por gritarle nia en un cochecito es socialismo enfermedad mental estados unidos	#KamalaHarris #EstadosUnidos #Kamala
1850256794955706640	JCinFL868890	'What a vile, EVIL excuse for a human being! #Kamala “With the swipe of my pen I could change lives” -cackle, cackle- as she arrested parents for their children’s truancy, even a child who was in the hospital with sickle cell anemia. That mom speaks in the video below. She lost'	2024-10-26 19:22:50	vile evil excuse human kamala swipe pen could change lives cackle arrested parents childrens truancy even child hospital sickle cell anemia mom speaks video lost	#Kamala
1850256835422622029	GraceAnnRae	'#Kamala #WaPoMeltDown ~ WATCH!'	2024-10-26 19:23:00	kamala wa po melt watch	#Kamala #WaPoMeltDown
1850257056093110315	blockhead5ive	'As a life long Democrat I was woke. I fell for all of it. But I don’t like what I see in my party. The lies, corruption, and hubris #kamala #Trump2024Vance'	2024-10-26 19:23:52	life long democrat woke fell dont like see party lies corruption hubris kamala trump vance	#kamala #Trump2024Vance
1850257066239144270	faheem_kpk	"'""Iran's New CM-300 Anti-ship cruise missile modernizing its naval capabilities"". https://t.co/gD8KNTwDrx #iran #philipinnes #usa #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv'"	2024-10-26 19:23:55	irans new cm antiship cruise missile modernizing naval capabilities iran philipinnes usa russia china india ukraine taiwan pakistan gaza aviation israel nato trump kamala u election lebanon yemen tel aviv	#iran #philipinnes #usa #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv
1850257184459767977	winning_tactic	'The #OctoberSurprise this year is finally asking #Kamala and #TamponTimmy to answer simple questions and the resultant #LowIQ #FencePost responses. Yes, they are that stupid. https://t.co/pTjNCdkLrt'	2024-10-26 19:24:23	october surprise year finally asking kamala tampon timmy answer simple questions resultant low q fence post responses yes stupid	#OctoberSurprise #Kamala #TamponTimmy #LowIQ #FencePost
1850257197600522568	faheem_kpk	"'Taiwan’s New ""Huilong"" Unmanned Submarine Unveils Combat Capabilities with Advanced Torpedo Systems https://t.co/rhMMVlVP2s #taiwan #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv'"	2024-10-26 19:24:26	taiwans new huilong unmanned submarine unveils combat capabilities advanced torpedo systems taiwan russia china india ukraine pakistan gaza aviation israel nato iran trump kamala u election lebanon yemen tel aviv	#taiwan #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv
1850257248754315598	BSVnfts	'#Trump #Rogan full #Interview #MAGA #Kamala #election2024'	2024-10-26 19:24:38	trump rogan full interview g kamala election	#Trump #Rogan #Interview #MAGA #Kamala #election2024
1850257354585145723	faheem_kpk	"'""China's H-20 Bomber: A Real Threat to U.S. Global Dominance?"" https://t.co/sLtz03MJlw #japan #philipinnes #southkorea #Malaysia #usa #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv'"	2024-10-26 19:25:04	chinas h bomber real threat us global dominance japan philipinnes southkorea malaysia usa russia china india ukraine taiwan pakistan gaza aviation israel nato iran trump kamala u election lebanon yemen tel aviv	#japan #philipinnes #southkorea #Malaysia #usa #russia #china #india #ukraine #taiwan #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv
1850257460147139016	ElsiesCorrieSt	'#Kamala is a nutcase'	2024-10-26 19:25:29	kamala nutcase	#Kamala
1850257481622044680	WillcoGBO	'There is no limit to the depths the left will go to install Kamala into the presidency. Trying to pass off a dead woman’s picture as proof of her working at McDonald’s is reprehensible. Suzanne Bernier is the lady in the photo. #Scamala #Kamala #Trump #MAGA'	2024-10-26 19:25:34	limit depths left go install kamala presidency trying pass dead womans picture proof working mcdonalds reprehensible suzanne bernier lady photo scamala trump g	#Scamala #Kamala #Trump #MAGA
1850257508398420137	faheem_kpk	'Israel launched deadly Air Strikes on Iran's military, sparking fears of regional war https://t.co/2osNgmc7B9 #iran #japan #philipinnes #usa #russia #china #india #ukraine #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv'	2024-10-26 19:25:40	israel launched deadly air strikes irans military sparking fears regional war iran japan philipinnes usa russia china india ukraine pakistan gaza aviation nato trump kamala u election lebanon yemen tel aviv	#iran #japan #philipinnes #usa #russia #china #india #ukraine #pakistan #Gaza #Aviation #israel #nato #iran #trump #kamala #USElection2024 #Lebanon #yemen #TelAviv
1850257679215923304	jamescipriano	'#Kamala wow, they must be desperate @realDonaldTrump @DonaldJTrumpJr @joerogan @elonmusk https://t.co/PyNitgSSQz'	2024-10-26 19:26:21	kamala wow must desperate realdonaldtrump donaldjtrumpjr joerogan elonmusk	#Kamala
1850257758014116036	Xpressionable	'Black Women Destroy Obama For Dissing Black Men -Oshay #BwagainstDems #BWagainstKamala #NinaTurner #Kamala #NoReparationsnovote #BWdefendBM #HarrisWalz2024 https://t.co/F8O0vtG8bO'	2024-10-26 19:26:40	black women destroy obama dissing men oshay bwagainst dems b wagainst kamala nina turner reparationsnovote wdefend harris walz	#BwagainstDems #BWagainstKamala #NinaTurner #Kamala #NoReparationsnovote #BWdefendBM #HarrisWalz2024
1850257806064284065	music_papillon	'#CatPeople for #Kamala 💙https://t.co/Z6KQblMDjX'	2024-10-26 19:26:51	cat people kamala	#CatPeople #Kamala
1850257907209634170	cross_x_party	'@campbellclaret The truth just might be that @JeffBezos has come to realise that #Kamala is just too bad to support. In fact he and everyone on his team think that the next president should be @realDonaldTrump. But you are right, they are cowards because they are not coming out for #DonaldJTrump'	2024-10-26 19:27:15	campbellclaret truth might jeffbezos come realise kamala bad support fact everyone team think next president realdonaldtrump right cowards coming donald j trump	#Kamala #DonaldJTrump
1850258059773264018	Sandy_L_K	'#KaMaLa https://t.co/jsHS7EjYqY'	2024-10-26 19:27:52	ka la	#KaMaLa
1850258143403450400	lamamama2021	'@ksorbs Have another drink.#Kamala'	2024-10-26 19:28:12	ksorbs another drinkkamala	#Kamala
1850258202060902707	John99096875408	'#lyingkamala #KamalaGropedMe #kamala'	2024-10-26 19:28:26	lyingkamala kamala groped	#lyingkamala #KamalaGropedMe #kamala
1850258204074398096	Portabales_Hijo	'#KamalaHarris #Trump @elonmusk @realDonaldTrump @KamalaHarris #Pedofiles #PizzaGate #Kamala #Beyonce @Beyonce #Anonymous #puffdaddy https://t.co/zKSNfHgip5'	2024-10-26 19:28:26	kamala harris trump elonmusk realdonaldtrump kamalaharris pedofiles pizza gate beyonce anonymous puffdaddy	#KamalaHarris #Trump #Pedofiles #PizzaGate #Kamala #Beyonce #Anonymous #puffdaddy
1850258355391996345	RickJoh44846997	'@jacksonhinklle I’m not going to trust a word you say. Palestinians and their supporters lie like it was a religious ritual. Sorry your friends are getting vaporized. (Not sorry). Next time, don’t start things you can’t finish. #Palestine #Palestinians #Gaza #Iran #Israel #IDF #Kamala #Trump'	2024-10-26 19:29:02	jacksonhinklle im going trust word say palestinians supporters lie like religious ritual sorry friends getting vaporized next time dont start things cant finish palestine gaza iran israel f kamala trump	#Palestine #Palestinians #Gaza #Iran #Israel #IDF #Kamala #Trump
1850258582358376953	devaramkelawan4	'Scott Ritter: Israel’ Hopes SHATTERED! Iran ERADICATE Every IDF Missile—... https://t.co/qjRfwRwgyZ via @YouTube #biden #trump #kamala #quebec #toronto #edmonton #uk #england #france #germany #italy #hamas #israel #russia #iran #sydney'	2024-10-26 19:29:56	scott ritter israel hopes shattered iran eradicate every idf missile via youtube biden trump kamala quebec toronto edmonton uk england france germany italy hamas russia sydney	#biden #trump #kamala #quebec #toronto #edmonton #uk #england #france #germany #italy #hamas #israel #russia #iran #sydney
1850258662612492772	Davidmetroland	'This #MAGA post indicates the brain of a pea. 🫛🫛🫛 Disgusting, lets hope #Kamala wins.'	2024-10-26 19:30:15	g post indicates brain pea disgusting lets hope kamala wins	#MAGA #Kamala
1850258662696075357	RNCrypto74	'@Texasbrn #Kamala supporters going for the win...vote accordingly'	2024-10-26 19:30:15	texasbrn kamala supporters going winvote accordingly	#Kamala
1850258667725291957	franlabelle	'@Frontieresmedia Le baiser du diable. Une raison de plus pour voter #Kamala . De toutes manière ces tordus turbanés ne voteront jamais pour une femme.'	2024-10-26 19:30:17	frontieresmedia le baiser du diable une raison de plus pour voter kamala toutes manire ces tordus turbans ne voteront jamais femme	#Kamala
1850258804031869005	RobThom01088853	'#kamala #harris #now https://t.co/C98OwR3Pxs #AmericasBestPicsAndVideos'	2024-10-26 19:30:49	kamala harris americas best pics videos	#kamala #harris #now #AmericasBestPicsAndVideos
1850258876450378119	ivovynckier	'Leonardo DiCaprio endorses Kamala Harris - a woman over 25. Oh shit. I guess Ricky Gervais owes Leo an apology. #rickygervais #LeonardoDiCaprio #leonardo #Kamala #KamalaHarris2024 #Harris #HarrisWalz #HarrisWalz2024 #HarrisForPOTUS #KamalaHarris4POTUS2024 https://t.co/d1nz2r8SZd'	2024-10-26 19:31:06	leonardo dicaprio endorses kamala harris woman oh shit guess ricky gervais owes leo apology rickygervais di caprio walz p u	#rickygervais #LeonardoDiCaprio #leonardo #Kamala #KamalaHarris2024 #Harris #HarrisWalz #HarrisWalz2024 #HarrisForPOTUS #KamalaHarris4POTUS2024
1850258938714816610	SalleeSays	'16 million views. Just on YouTube (not even counting other platforms). Meanwhile, i'm here in Houston and one even knew that #Kamala is here today. https://t.co/jLz28Tl4JB'	2024-10-26 19:31:21	million views youtube even counting platforms meanwhile im houston one knew kamala today	#Kamala
1850258999435727022	GregMac746744	'What is this 'coconut tree' BS #Kamala keeps talking about? She grew up in Canada🤔🙄😆 #Harris2024 #LetsGoKamdon https://t.co/cWZ61Mcj9E'	2024-10-26 19:31:36	coconut tree bs kamala keeps talking grew canada harris lets go kamdon	#Kamala #Harris2024 #LetsGoKamdon
1850259359575462018	FutureWithTrump	'DUMP TRUMP https://t.co/6sdw7Ie6Cj #Elections2024 #president #vote #kamala #kamalaharris #kamalaharris2024 #kamalaharrisforpresident #kamalawins #kamalawinswithjoy #kamalawins2024 #kamalaforthepeople #futurewithtrump #ebook #trump #trump2024 #dumptrump https://t.co/7loBcOTjy6'	2024-10-26 19:33:02	dump trump elections president vote kamala kamalaharris kamalaharrisforpresident kamalawins kamalawinswithjoy kamalaforthepeople futurewithtrump ebook dumptrump	#Elections2024 #president #vote #kamala #kamalaharris #kamalaharris2024 #kamalaharrisforpresident #kamalawins #kamalawinswithjoy #kamalawins2024 #kamalaforthepeople #futurewithtrump #ebook #trump #trump2024 #dumptrump
1850259366265643386	Rocket60271713	'@BarackObama @KamalaHarris @Tim_Walz #Kamala https://t.co/GdOklProZy'	2024-10-26 19:33:03	barackobama kamalaharris timwalz kamala	#Kamala
1850259563779625314	SunnyBrimstone	'Dangerous communist witch! Her cackle and glee at her ability to destroy lives of the little people is disgusting. Power drunk. #KamalaCaresForUS #KamalaHarris2024 #Kamala @KamalaHarris @kama'	2024-10-26 19:33:50	dangerous communist witch cackle glee ability destroy lives little people disgusting power drunk kamala cares u harris kamalaharris kama	#KamalaCaresForUS #KamalaHarris2024 #Kamala
1850259589431730454	jgca68	'@DevinCow Lets GOOOOOO....!!!! 💜💜💜💜💜💜💜 💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿 @KamalaHQ @KamalaHarris @DNC @DNCWarRoom #kamala #KamalaHarris2024 https://t.co/m7d2S8iuYk'	2024-10-26 19:33:56	devincow lets goooooo kamalahq kamalaharris dnc dncwarroom kamala harris	#kamala #KamalaHarris2024
1850259597262778701	DeaRileyKY	'Democrats paid to have #Beyoncé shake her ass for #Kamala supporters. The Democrats Kamala deviants agreed to exchange their support for Kamala to get a good Beyoncé peep show, why didn't Kamala give them the freak show they want? Beyoncé just isn't interesting with clothes on'	2024-10-26 19:33:58	democrats paid beyonc shake ass kamala supporters deviants agreed exchange support get good peep show didnt give freak want isnt interesting clothes	#Beyoncé #Kamala
1850259634222715279	inhisserviceat1	'@realredsd No one official said she was performing, @Beyonce with Kelly &amp; Willie for #Kamala #Colin it's all icing on the cake. We'll wait on the inauguration💃🏽🗣️🎤👄🎼🎵🎶'	2024-10-26 19:34:07	realredsd one official said performing beyonce kelly amp willie kamala colin icing cake well wait inauguration	#Kamala #Colin
1850259682910433320	TommyAtkins1939	'Insane cunts - #Kamala's deranged liberals. They need fucking culling.'	2024-10-26 19:34:19	insane cunts kamalas deranged liberals need fucking culling	#Kamala
1850259685976473900	peterturnbull92	'Is it just me? Or is Kelly Rowland at Kamala Harris’ rally giving “shrunken head Bob” from Beetlejuice? #USA #USElection2024 #KamalaHarris2024 #KellyRowland #Kamala #Rally https://t.co/1v4b8FLDOl'	2024-10-26 19:34:19	kelly rowland kamala harris rally giving shrunken head bob beetlejuice u election	#USA #USElection2024 #KamalaHarris2024 #KellyRowland #Kamala #Rally
1850259701327355950	Haoshoku	'#ElClasico #Madrid #Trump #Kamala #Elon #GoVegan https://t.co/nsspflVEzr'	2024-10-26 19:34:23	el clasico madrid trump kamala elon go vegan	#ElClasico #Madrid #Trump #Kamala #Elon #GoVegan
1850259738833113118	DeaRileyKY	'@OliLondonTV Democrats paid to have #Beyoncé shake her ass for #Kamala supporters. The Democrats Kamala deviants agreed to exchange their support for Kamala to get a good Beyoncé peep show, why didn't Kamala give them the freak show they want? Beyoncé just isn't interesting with clothes on'	2024-10-26 19:34:32	olilondontv democrats paid beyonc shake ass kamala supporters deviants agreed exchange support get good peep show didnt give freak want isnt interesting clothes	#Beyoncé #Kamala
1850260042546638925	Phasenraum1	'Accidentally Renaissance #KamalaHarris2024 #Kamala #KamalaGropedMe #KamalaThreatToOurDemocracy #KamalaCaresForUS #KamalaAintIt https://t.co/qkkQnum1ux'	2024-10-26 19:35:44	accidentally renaissance kamala harris groped threat democracy cares u aint	#KamalaHarris2024 #Kamala #KamalaGropedMe #KamalaThreatToOurDemocracy #KamalaCaresForUS #KamalaAintIt
1850260078760190230	LorneMalvo343	'#Diddy endorses #Kamala too'	2024-10-26 19:35:53	diddy endorses kamala	#Diddy #Kamala
1850260079309725933	stevegrubershow	'These FOOLS are just as bad as #Kamala NOTHING comes to mind!'	2024-10-26 19:35:53	fools bad kamala nothing comes mind	#Kamala
1850260506898280737	LiberatusTweet	'Dougie loves a fortune cookie! #kamala #kamalaharris #comedy https://t.co/DMMZBhxTNV via @YouTube'	2024-10-26 19:37:35	dougie loves fortune cookie kamala kamalaharris comedy via youtube	#kamala #kamalaharris #comedy
1850260524921139206	drahcir13H	'Check out America #Trump Hubbard USA #Kamala #Biden #Obama Clinton Art #Painting blacksun13r https://t.co/q8ZnER8mnQ'	2024-10-26 19:37:39	check america trump hubbard usa kamala biden obama clinton art painting blacksunr	#Trump #Kamala #Biden #Obama #Painting
1850260580617097514	jackcase2022	'@EdKrassen Don’t you mean a Beyoncé rally that #Kamala showed up to??? By the way the media said it was a free concert! https://t.co/3AOSupbJyT'	2024-10-26 19:37:53	edkrassen dont mean beyonc rally kamala showed way media said free concert	#Kamala
1850260620702335458	lilwangeth	'What?!? No Beyoncé?? #trump #kamala'	2024-10-26 19:38:02	beyonc trump kamala	#trump #kamala
1850260640713330832	GreatWhiteHippo	'Debunking The Biggest Lies Told About Trump https://t.co/RJCnHPK64O via @YouTube #Kamala #blm #WakeUp #wakeupamerica #VoteRedToSaveAmerica #vote #election2024'	2024-10-26 19:38:07	debunking biggest lies told trump via youtube kamala blm wake wakeupamerica vote red save america election	#Kamala #blm #WakeUp #wakeupamerica #VoteRedToSaveAmerica #vote #election2024
1850260691783229844	TheRealTRTalk6x	'The #crypto market does not like this election. Wow. 90% of the crypto community are #trump fans. We are all sitting here understanding that #Kamala is bad for business. Unless you’re @mcuban then apparently she. Is good for business'	2024-10-26 19:38:19	crypto market like election wow community trump fans sitting understanding kamala bad business unless youre mcuban apparently good	#crypto #trump #Kamala
1850261029449539689	oflovenlig19498	'💥#Kamala'	2024-10-26 19:39:40	kamala	#Kamala
1850261054380724502	IsadoraClarus	'Everybody who thinks #Kamala seems very presidential here should vote for her.'	2024-10-26 19:39:46	everybody thinks kamala seems presidential vote	#Kamala
1850261193904030172	Melinda_MH	'Kamala is a magnate for senile old men. #Biden #WillieNelson #WillieBrown #jimmycarter100 #Kamala #KamalaCaresForUS #KamalaHarris2024'	2024-10-26 19:40:19	kamala magnate senile old men biden willie nelson brown jimmycarter cares u harris	#Biden #WillieNelson #WillieBrown #jimmycarter100 #Kamala #KamalaCaresForUS #KamalaHarris2024
1850261355418529952	NYStateofMinder	'Mel Gibson says #Kamala has the IQ of a fence post. Tough talk from a guy COMPLETELY CONVINCED a dude walked on water, rose from the dead and has since decided to NEVER come back to earth was totally real. #Celebrities #VoteBlue #KamalaHarris2024'	2024-10-26 19:40:57	mel gibson says kamala iq fence post tough talk guy completely convinced dude walked water rose dead since decided never come back earth totally real celebrities vote blue harris	#Kamala #Celebrities #VoteBlue #KamalaHarris2024
1850261434879332633	dolomiteHEX	'#kamala supporters are mentally ill people. They are so angry and non-sense.'	2024-10-26 19:41:16	kamala supporters mentally ill people angry nonsense	#kamala
1850261536532816332	WineCountryExp1	'It’s a NO on #Kamala It’s not just men, it’s women like me who don’t enjoy government overreach. : : #WomenForTrump #KamalaIsALoser #TrumpVance2024'	2024-10-26 19:41:41	kamala men women like dont enjoy government overreach trump loser vance	#Kamala #WomenForTrump #KamalaIsALoser #TrumpVance2024
1850261568757637479	NatlDay	'Great job Lee @TheLeeGreenwood !!! #Jesus #Trump2024 #TRUMP #MAGA #MAHA #USA #Ireland #Canada #Poland #Japan #Australia #UFC #spacex #NASA @realDonaldTrump @JDVance @RobertKennedyJr @elonmusk #Christians #Catholics #Kamala #EU #WW3 #WaPoMeltDown #BTC #Crypto'	2024-10-26 19:41:48	great job lee theleegreenwood jesus trump r u p g h ireland canada poland japan australia f c spacex n realdonaldtrump jdvance robertkennedyjr elonmusk christians catholics kamala e w wa po melt b crypto	#Jesus #Trump2024 #TRUMP #MAGA #MAHA #USA #Ireland #Canada #Poland #Japan #Australia #UFC #spacex #NASA #Christians #Catholics #Kamala #EU #WW3 #WaPoMeltDown #BTC #Crypto
1850261756209402007	RickyNoteKhan	'There’s a reason why #DonaldTrump is where he is, he does the unthinkable-this guy brought Muslim community leaders out to a rally, whilst #kamala brings celebs. The guy is a genius regardless if it’s not meant sincerely. Gotta admire his tactics always a step ahead'	2024-10-26 19:42:33	theres reason donald trump unthinkablethis guy brought muslim community leaders rally whilst kamala brings celebs genius regardless meant sincerely gotta admire tactics always step ahead	#DonaldTrump #kamala
1850261863314931877	tylerjkinsell	'#agriculture prices have skyrocketed under the #JoeBiden &amp; #KamlalaHarris administration and will continue to do so if #kamala wins the #election therefore we must #vote for @realDonaldTrump for the next president of the United States 🇺🇸 #maga #Election2024 🇺🇸 https://t.co/vSpiiqU2Gs'	2024-10-26 19:42:59	agriculture prices skyrocketed joe biden amp kamlala harris administration continue kamala wins election therefore must vote realdonaldtrump next president united states maga	#agriculture #JoeBiden #KamlalaHarris #kamala #election #vote #maga #Election2024
1850261991958700247	cross_x_party	'@KamalaHQ Most news outlets are censoring #Trump and promoting #Kamala. Take #channel4news in the UK, they showed a clip with Beyoncé but not @realDonaldTrump. The didn’t even mention #JoeRogan. So credit to Kamala HQ for pointing to Rohan so that everyone can make their own mind up.'	2024-10-26 19:43:29	kamalahq news outlets censoring trump promoting kamala take channel uk showed clip beyonc realdonaldtrump didnt even mention joe rogan credit hq pointing rohan everyone make mind	#Trump #Kamala #channel4news #JoeRogan
1850262009406947528	Tennessee_JBC	'@MAGAResource @TrumpDailyPosts She didn’t perform after the hype , wow I guess #Kamala can’t deliver on anything 🤷🏼‍♂️'	2024-10-26 19:43:33	magaresource trumpdailyposts didnt perform hype wow guess kamala cant deliver anything	#Kamala
1850262042759839959	ElsiesCorrieSt	'#Kamala and #Democrats are lying scumbags'	2024-10-26 19:43:41	kamala democrats lying scumbags	#Kamala #Democrats
1850262169423618244	NowThinkAgain	'#Kamala'	2024-10-26 19:44:12	kamala	#Kamala
