datetime	tweet	hashtags	compound	sentiment_category
2024-10-26 16:09:00	vote harris competent cabinet amp expert executive branch agency leaders rfk jr health care provider avidly antivax antimedical science business anywhere near fda would dangerous	#Harris	0.34	positive
2024-10-26 16:09:01	calltoactivism diddy list endorsement harris strange	#Harris #Strange	0.128	positive
2024-10-26 16:09:20	election polling harris trump tipp insights oct lv general polls	#Election2024 #Harris #GeneralElection #polls	0.0	neutral
2024-10-26 16:09:20	optimisme kamala harris heeft plaatsgemaakt voor onzekerheid en teleurstelling hahaha ze blijven de winst van trump ontkennen trekpop democraten niets te melden amerikanen hebben dat massaal door	#Trump #Harris #Democraten #Amerikanen	0.5574	positive
2024-10-26 16:09:45	left call trump fascist melt nonendorsements houston uncovering child trafficking due biden harris open border policy girls rescued bars suspended tip iceberg treason	#Harris #treason	-0.7783	negative
2024-10-26 16:09:48	abd seimlerinde kadnlar toplam semenin na eit byk ounluu harrisi destekliyor anketrlere hispanic siyah erkekler genelde cevap vermiyor bu sebeple anketlerde az saylyorlar kasmda etnik gemili erkeklerin harrise oy vereceini gryoruz	#Harris	0.0	neutral
2024-10-26 16:09:58	valget usa mener kamala harris er besatt av demoner trump uforentestater	#usa2024 #trump #harris #uforentestater	0.0	neutral
2024-10-26 16:10:00	sowhat think beyonc harris	#Harris	0.0	neutral
2024-10-26 16:10:09	kamala harris campaign americas best pics videos	#kamala #harris #campaign #AmericasBestPicsAndVideos	0.6369	positive
2024-10-26 16:10:45	common factor harris zelensky cocaine kamala	#Harris #Zelensky #Cocaine #cocaineKamala #cocaineZelensky	0.0	neutral
2024-10-26 16:11:11	harris bidenharris	#harris #bidenharris	0.0	neutral
2024-10-26 16:11:33	question kamalaharris voter u think last days campaign concentrate something trashing donaldtrump hinthint answer one thing love americans many thoughts head time harris	#Harris	0.6369	positive
2024-10-26 16:12:11	could like guy im voting afternoon along whole family american veteran got harris walz message north carolina	#Harris #Walz #NorthCarolina #HarrisWalz2024	0.3612	positive
2024-10-26 16:12:45	check clicknicks video tik tok candance owens click nick harris kamala walz tim vance trump dont fear jehovah still reigns jesus christ helping us jonathan miller pastor p j terrorist	#TikTok #Candance #CandanceOwens #ClickNick #Harris #KamalaHarris #Walz #TimWalz #Vance2024 #Trump2024 #DontFear #JehovahStillReigns #JesusChristIsHelpingUs #JonathanMiller #PastorYPJ #Terrorist	-0.2197	negative
2024-10-26 16:13:08	bill maher praises trumps brilliant mcdonalds visit calls harris snubbing joe rogan mistake would rather hang celebrities normal people markhamill mitchellreports aoc theview trump	#Harris #Trump	0.5994	positive
2024-10-26 16:13:35	presidential election polling harris trump r last poll rasmussen oct lv	#PresidentialElection2024 #Harris #Rasmussen	0.0	neutral
2024-10-26 16:13:46	got home voting bc love country fan democracy competence votefordemocracy votefordecency voteforsanity voteblue harris	#votefordemocracy #votefordecency #voteforsanity #voteblue #harris	0.7579	positive
2024-10-26 16:13:52	rt help find someone knows lunatic trump vance harris walz	#TrumpVance #Trump #HarrisWalz #Harris	-0.128	negative
2024-10-26 16:14:09	hey want audience check great gig ive got fiverr advertising promotion digital marketing youtube videos real estate trum harris musicproducer investing crypto bitcoin	#Advertising #promotion #DigitalMarketing #youtube #videos #fiverr #RealEstate #Trum #Harris #musicproducer #Investing #crypto #Bitcoin #fiverr	0.6597	positive
2024-10-26 16:14:24	nzz den us whler interessiert vor allem nicht wenn der grnwoke komplex die mehrheit mit ihren inhaltsfreien tiraden berschwemmen das begreifen offenbar zahlreiche journalisten im deutschen sprachraum harris hetzt gegen trump und bleibt dennoch keine alternative	#Harris #hetzt #Trump	-0.5994	negative
2024-10-26 16:14:26	libturds kamala harris americas best pics videos	#libturds #kamala #harris #AmericasBestPicsAndVideos	0.6369	positive
2024-10-26 16:14:35	harris democrats unitedstate government newsmedia disgrace america ameicapeople please take illegal immigrants destroy keep house dont want hard earnmoney support illegalimmigrants	#Harris #Democrats #unitedstate #Government #newsmedia #America #Ameicapeople #illegal #destroy #house #earnmoney #support #illegalimmigrants	-0.7372	negative
2024-10-26 16:14:51	medical emergency house pro abortion doctors harris stage stood	#Harris	-0.3818	negative
2024-10-26 16:15:02	cherry top would harris campaign tells beyonc actually perform songs theyll feel rest us feels gaslit biden administration border amp economy great created million jobs	#Harris #Beyoncé #Biden	0.7845	positive
2024-10-26 16:15:50	breaking machomala sunday surpise hulk trump harris news politics funny october fake mrreaganusa cartierfamilyz	#Machomala #Sunday #Surpise #HulkTrump #Trump #Harris #News #Politics #Funny #October #0FakeNews	-0.0516	negative
2024-10-26 16:16:55	wallstreetapes brookerteejones unless get rid democrats white house crime continue rapidly grow country wokers control democratic party dont want policewhich course insane vote republican give break harris woke	#Harris	-0.575	negative
2024-10-26 16:17:04	kamala strategy control exposure use phrase let clear saying nothing n hdems know youre harris voting trump media algorithms lawfare told orange man bad decade lazy h politics	#Kamala #NHdems #Harris #Trump #NHPolitics	-0.5267	negative
2024-10-26 16:18:43	realdonaldtrump bet wish could throw jail dont politics freespeech fyp trump harris	#politics #freespeech #fyp #trump #harris	0.4019	positive
2024-10-26 16:18:54	treibt elon musk im wahlkampf jurist richard briffault sagt eine prsidentin harris knnte politische entscheidungen treffen die ihm missfallen werden mit trump hingegen drften sich seine probleme luft auflsen das interview sternde	#ElonMusk #Harris #Trump	-0.5994	negative
2024-10-26 16:19:10	collinrugg naja als schauspieler muss man tun einem gesagt wird eigentlich nicht intelligent sein oder di caprio likes harris	#DiCaprio #Harris	0.7003	positive
2024-10-26 16:19:10	r u p g trump truths harris walz vance kamala president	#TRUMP #MAGA #Trump2024 #TrumpTruths #HarrisWalz24 #TrumpVance2024 #Trump2024 #Trump #Kamala4President #Kamala4President2024 #KamalaHarris #KamalaHarris2024 #Kamala #Kamala2024 #Harris #HarrisWalz2024 #Harris2024	0.4215	positive
2024-10-26 16:19:30	trump bij rogan het optimisme van de nederlandse media harris lijkt mij onterecht	#Trump #Rogan #Harris	0.0	neutral
2024-10-26 16:20:57	got ww supplies order harris wins trump election	#trump #Harris #Election2024	0.5719	positive
2024-10-26 16:22:29	wa po cancel harris wapo pulling kamala endorsement previews trump dictatorship looks like	#WaPo #CancelWaPo #Harris	-0.2023	negative
2024-10-26 16:23:06	harris wise align lawless vengeful people including women exposed publicly criminal acts likely men either race would influenced	#Harris	-0.1531	negative
2024-10-26 16:23:48	annesinclair les lecteurs nont pas besoin de consignes votes pour voter et cest lesprit mme la libert choisir au pays trump harris	#Trump #Harris	0.0	neutral
2024-10-26 16:24:49	u le washington post refuse de soutenir un candidat pour la prsidentielle amricaine une premire depuis jeff bezos trump harris	#USA #WashingtonPost #JeffBezos #Trump #Harris	-0.296	negative
2024-10-26 16:24:50	united states beyonces full remarks support vice president harris u election beyonce houston	#UnitedStates #Harris #USElection2024 #Beyonce #Houston	0.6705	positive
2024-10-26 16:25:00	virginia polling averages potus trump vs harris us senate cao kaine election swing state v politics	#Election2024 #Trump #Harris #SwingState #VAPolitics	0.0	neutral
2024-10-26 16:25:43	trump harris destroy usa infavor israel vote independent	#trump #harris #usa	-0.5423	negative
2024-10-26 16:26:01	listen harris	#harris	0.0	neutral
2024-10-26 16:26:13	voteblue kamala democracy cnn msnbc maddow theview abc cbs nytimes nbc billmaher whitehouse biden obama beyonce vote harris walz	#voteblue #Kamala #DemocracyNow #cnn #msnbc #abc #cbs #nbc #biden #obama #beyonce #vote #Harris #walz	0.0	neutral
2024-10-26 16:29:37	democrats really sharing doctored photo trying convince people kamalaharris work mcdonalds mc donalds harris	#McDonalds #Harris	0.624	positive
2024-10-26 16:29:53	news kamala harris americas best pics videos	#news #kamala #harris #AmericasBestPicsAndVideos	0.6369	positive
2024-10-26 16:30:00	watch minute direct powerful personal latino vote harris trump	#Latino #Vote #Harris #Trump	0.4215	positive
2024-10-26 16:32:25	joe elon wth guy interview trump still smoking sht gave last time harris election usa comedy central whale	#harris #election #usa #comedy #central #whale #what	-0.2263	negative
2024-10-26 16:33:01	dont believe single word one afraid dictatorship would vote democrat harris hasnt primary	#Harris	0.0	neutral
2024-10-26 16:33:14	timmurtaugh jasonmillerindc emblematic whole harris campaign duplicity subterfuge	#Harris	0.0	neutral
2024-10-26 16:33:59	billymk pure marxist communist harris walz democrats democracy	#Harris_Walz2024 #harris #Democrats #DemocracyNow	0.0	neutral
2024-10-26 16:34:16	wenn man wie ich politisch interessiert ist es krass zu beobachten viele dokumentationen und reportagen den letzten tagen wochen zur bevorstehenden u wahl gibt election trump harris	#USWahl #Election #Election2024 #USElection2024 #Trump #Harris	0.0	neutral
2024-10-26 16:34:28	confirmed georgia president chose europe elections gvote russia putin harris dictatorship democrcy trump u aelections	#GeorgiaElections #Georgia #Gvote24 #Europe #Russia #Putin #Harris #Dictatorship #Democrcy #Trump #USAelections2024	0.0	neutral
2024-10-26 16:35:53	va avoir le droit la censure si jamais harris gagne	#harris	0.0	neutral
2024-10-26 16:36:06	black voters explain arent supporting kamala via youtube thats demorat party amp especially harris look buy votes saying anythinidentity politics onthats democrat thing last yrs	#Harris #Harris	0.0757	positive
2024-10-26 16:36:23	elonmusk fan trump seeing leftwing media amp politicians germany glorify holy savior harris pouring vials wrath hatred supporters cross fingers republicans election also important liberal europe	#Trump #Germany #Harris #Republicans	0.6705	positive
2024-10-26 16:37:08	surprise trump crushing harris new hispanic voter isposreuters poll numbers dont lie much better position	#Trump #Harris #Hispanic	-0.4226	negative
2024-10-26 16:37:47	cryptoamb concern harris	#Harris	0.0	neutral
2024-10-26 16:38:14	potus put billionaires first um look amp commielas bank statements lately hippocrate harris democrats hate america destroying	#Harris #DemocratsHateAmerica #DemocratsAreDestroyingAmerica	-0.8074	negative
2024-10-26 16:38:15	jacopoiacoboni effetti una vittoria della harris sarebbe sciagura per il mondo intero ed giusto dirlo	#Harris	0.0	neutral
2024-10-26 16:38:26	bfmtv beyonc toujours port malheur aux candidats comme clinton donc harris sera battue	#Beyoncé #Clinton #Harris	0.0	neutral
2024-10-26 16:38:26	harrisin en byk hatas pensilvanya valisi shapiro yerine kendisinden daha vasat bir profil olan walzi muavin olarak semesi oldu tam tersi hareket etmi olsa pensilvanyada delegeyi garantileyecekti u anda ii zora sokmu durumda	#Harris	0.0	neutral
2024-10-26 16:39:05	trump brought stability middle east harris biden chaos war vote bring peace region	#Trump #MiddleEast #Harris #Biden	-0.6249	negative
2024-10-26 16:39:16	billeaster cup full may empty share life privileged never doesnt absolve letting neighbors thirst like harris community	#Harris #Community	0.7548	positive
2024-10-26 16:40:43	u rogan trump harris p c	#USA #Rogan #Trump #Harris #AIPAC	0.0	neutral
2024-10-26 16:41:01	beyonc urges americans sing new song harris rally	#Beyoncé #Harris	0.0	neutral
2024-10-26 16:42:12	lets put trump garbage losers liars clowns vote harris walzobviously	#Harris	-0.7783	negative
2024-10-26 16:42:37	b r n e w p preparedness f martial law trump civil war harris alex jones right podcastrecommendation podcastrecommendations podnation podcasts god endtimes eschatology c l jesuschrist flawedcast u podcast	#BRANDNEWEPISODE #NEWEPISODE #Preparedness #FEMA #MartialLaw #Trump #CivilWar #Harris #AlexJonesWasRight #podcastrecommendation #podcastrecommendations #Podnation #Podcasts #God #endtimes #eschatology #CLE #jesuschrist #FlawedcastCLE #RUMBLEPodcast	-0.4215	negative
2024-10-26 16:43:05	kamala harris p u cares walz obviously vote blue ballot god bless leftist like crucifix vampire	#KamalaHarris2024 #Kamala #KamalaHarris4POTUS2024 #KamalaCaresForUS #HarrisWalz #HarrisWalz2024 #Harris #Harris_Walz2024 #HarrisWalzObviously #VoteBlueDownBallot #VoteBlue	0.8555	positive
2024-10-26 16:43:24	climate change killing earth ruining economy need bold step forward save planet harris leonardo di caprio taylorswift trump	#Harris #LeonardoDiCaprio #Taylorswift #Trump	-0.1531	negative
2024-10-26 16:43:46	furor washington posts decision endorse presidential candidate post jeff bezos harris trump election	#WashingtonPost #JeffBezos #Harris #Trump #election	0.3182	positive
2024-10-26 16:45:42	proof blacks trump black democrat movement years desperate democratic party border czar kamala im yall harris saturdayfun	#BlacksForTrump #BlackNotDemocrat #NoMoreYears #DesperateDemocraticParty #BorderCzarKamala #ImBlackYall #Harris #saturdayfun	0.1027	positive
2024-10-26 16:46:45	faites ceux que je dis pas fais dicaprio trump harris usa	#dicaprio #Trump #Harris #Usa2024	0.0	neutral
2024-10-26 16:47:13	newstown front ready kick stay tuned news opinions articles political analysis latest events trump elections harris change	#Trump #elections #Harris #change	0.3612	positive
2024-10-26 16:47:37	backfire entire stadium shouts jesus king youtube cant forget way commie democrat party thinks dont like christians plain amp simplethey want eliminated dictate rights onto everyone harris	#Harris	0.3728	positive
2024-10-26 16:48:33	biden harris trudeau starmer e u january february united kingdom france germany amp denmark signed year bilateral security cooperation agreement ukraine	#Biden #Harris #Trudeau #Starmer #EU	0.8126	positive
2024-10-26 16:48:58	het wel verstandig om de ritch en famous op te laten draven voor gewone amerikaan harris	#Harris	0.0	neutral
2024-10-26 16:49:03	paulsgundlach ate full pint talente vanilla gelato fudge swirl cookie dough help harris win	#Harris	0.7579	positive
2024-10-26 16:49:10	kamalaharris kamala harrisdonald trumps project agenda outlines plan force states report womens miscarriages abortions trump clear would weaponize j amp army political enemies election f b	#Kamala #Harris #DonaldTrump #Project2025 #women #Trump #DOJ #army #Election #FBI	-0.1531	negative
2024-10-26 16:49:45	former president donald trump vice kamala harris rallying michigan election day approaches early voting starting state political rallies	#Trump #Harris #MichiganVoting #Election2023 #PoliticalRallies	0.0	neutral
2024-10-26 16:50:14	robertkennedyjr say aint kamala harris supporter trying protect year old girl radical trump obsessed father right	#Kamala #Harris #Trump	0.0222	neutral
2024-10-26 16:50:41	jeffbochicago petebuttigieg harris win much	#harris	0.5859	positive
2024-10-26 16:51:25	elonmusk hold security clearance elons money interfere us national period compromised nationalsecurity space news elon musk trump harris elections n v	#compromised #clearance #nationalsecurity #space #news #ElonMusk #elon #Trump #Harris #ElectionsWithNDTV	0.34	positive
2024-10-26 16:52:06	dem mollati dai big della silicon valley il silenzio su kamala harris rumoroso usa elezioni ottobre iltempoquotidiano	#SiliconValley #Harris #usa #elezioni #26ottobre #iltempoquotidiano	0.0	neutral
2024-10-26 16:52:37	vp harris incompetent ineffective disaster undeserving presidency	#Harris	-0.891	negative
2024-10-26 16:53:01	propalestine advocates gathered outside shell stadium kamala harris campaigning freepalestine breaking news b r e k n g gaza genocide palestine	#Shell #Harris #freepalestine #BreakingNews #BREAKING #news #GazaGenocide #Gaza #palestine	0.0	neutral
2024-10-26 16:53:41	vice predator united states kamala harris	#Kamala #Harris	0.4215	positive
2024-10-26 16:54:33	ianonpatriot diddy arrest epstein files may get exposed nutshell harris probably blackmailing	#harris	-0.4019	negative
2024-10-26 16:54:38	share need let world know woman treats people including children harris supporters condone behavior supporter screams	#Harris	0.6124	positive
2024-10-26 16:54:52	israel crimes palestine amp lebanon usa paris harris love fashion photography art beautiful happy follow cute style summer beauty fitness like food photo selfie friends music family life fun girl liam payne bts one direction trump	#Israel #Palestine #Lebanon #usa #paris #harris #love #Fashion #photography #art #beautiful #happy #follow #cute #style #summer #beauty #fitness #like #food #photo #selfie #friends #music #family #life #fun #girl #LiamPayne #bts #OneDirection #trump #bts #style	0.9828	positive
2024-10-26 16:54:58	harris polling n c lowest decades democratic nominee nyt poll r u p e kamala h blacks black men nascar f g bitcoin v congress b us times	#Harris #NYC #Democratic #TRUMP #TRUMP2024 #DEMS #DNC #Kamala2024 #Kamala #HISPANIC #Blacks #BlackMen #Nascar #UFC #GOP #RNC #NRA #Bitcoin #AMMO #MOVIES #congress #BORDER #USA #us #NYTimes	-0.3818	negative
2024-10-26 16:56:15	omfg dont know trump said wants dictator nationwide abortion ban thats mother fuckers im done nice fuck youve many fucking years damn research harris	#trump #harris	-0.9038	negative
2024-10-26 16:56:54	days election day electoral college harris trump polling averages az ga mi nv nc pa wi swing state	#Election2024 #Trump #Harris #SwingState	0.0	neutral
2024-10-26 16:59:25	working folks proof trump friend labor middleclass much better harris watch openly supports unions walz	#Trump #Labor #Harris #Unions #HarrisWalz2024	0.8225	positive
2024-10-26 17:00:01	prsidentielle j avant llection du sicle qui de kamala harris ou donald trump sortira vainqueur cette lection dcisive rponse en direct durant toute la nuit au novembre sur gazettefr	#Harris #Trump	0.0	neutral
2024-10-26 17:00:35	harris beyonc ignite houston rally doublebarreled argument trump f	#Harris #Trump #FYI	-0.3612	negative
2024-10-26 17:01:24	harris trump	#Harris #Trump	0.0	neutral
2024-10-26 17:02:06	sprinterfamily us bully terrorist nation world sick america falling apart homelessness poverty racial divides incited government treason american traitors rich getting richer poor sicker aipac bill gates obama harris	#aipac #BillGates #Obama #Harris	-0.9337	negative
2024-10-26 17:02:18	kamalaharris beyonce kellyrowland years kamala im black yall harris magic negro cant help girl campaign	#NoMoreYears #Kamala #ImBlackYall #Harris #MagicNegro #BlackGirlMagicCampaign	-0.3089	negative
2024-10-26 17:03:03	harris trump donald played maggot bacon home kamala rolled sleeves worked hard good america	#Harris #Trump	0.5994	positive
2024-10-26 17:04:39	pakistan cricket saturdayfun rogan ufc ole miss beyonce navy shaq caturday harris trump	#PakistanCricket #saturdayfun #rogan #ufc308 #ole #Beyonce #Navy #Shaq #Caturday #Harris #Trump	-0.1531	negative
2024-10-26 17:04:43	interesting morning harris trending first time ive actually seen gtm tweets replaced ben shapiro algorithm huh	#Harris #BenShapiro	0.4019	positive
2024-10-26 17:04:59	washington post tars feathers trump harris brush presidential election	#Harris #PresidentialElection2024	0.0	neutral
2024-10-26 17:06:09	trust kamala harris cant tulsi gabbard opines trusted absolutely correct completely untrustable way	#TulsiGabbard #KamalaHarris #Harris #Untrustable	0.7506	positive
2024-10-26 17:06:11	last fucking years dont need want anyone doesnt believe truth vote said wont thats ruining great country youre lazy hypocrite trump harris	#trump #harris	-0.7382	negative
2024-10-26 17:06:42	bezos pulled harris endorsement much bigger fight relevance space long losing elon musk founder x one two men world richer wont offend trump	#Harris	0.3374	positive
2024-10-26 17:07:12	first urged women put family harrison butkers latest angry rich guy pac kansas city chiefs guardian anyone thinks billionaires st think abt womens health harris	#Harris	0.0772	positive
2024-10-26 17:07:52	newsweek problem harris supporters thinking save hundred dollars year complete stupidity	#Harris	0.128	positive
2024-10-26 17:08:22	lipetsk airbase russia ukraine war n f u news zelensky putin russian kursk trump kamala harris georgia north korea iran tehran lebanon beirut israel brics	#Ukraine #UkraineRussiaWar #NATO #UkraineWar #AFU #UkraineWarNews #Zelensky #Putin #Russia #Russian #Kursk #Trump #KamalaHarris #Harris #Georgia #NorthKorea #Iran #Tehran #Lebanon #Beirut #Israel #IDF #Brics	-0.5994	negative
2024-10-26 17:08:26	whats favorite candidate followers write listed deciding weekend drop ballot box trump harris stein west	#Trump #Harris #Stein #West	0.2263	positive
2024-10-26 17:08:56	blue shirt broad psycho yelling innocent kid roger everyones tracking obvious however lets emphasize commend lady stopped scorned dumb praise grace displayed matter trump harris politics	#Trump #Harris #Politics	0.765	positive
2024-10-26 17:10:01	biden says dont kamala trump said worlds enemies stood still held breath hoping heard hid bidenharris pathetic amp terrified laughing stock one worried	#Biden #Kamala #Trump #Harris	-0.8176	negative
2024-10-26 17:10:02	ways kamala harris promotes chaos energy message trump r u p e h n c black men nascar f g congress b times michigan pennsylvania north carolina arab	#Kamala #Harris #Trump #TRUMP2024 #DEMS #HISPANIC #BlackMen #Nascar #UFC #GOP #RNC #NRA #congress #BORDER #USA #NYTimes #Michigan #Pennsylvania #NorthCarolina #Arab	-0.0516	negative
2024-10-26 17:10:40	breaking hulk trumpamania going survive machomala sunday trump harris news politics funny october fake mrreaganusa cartierfamilyz	#Machomala #Sunday #HulkTrump #Trump #Harris #News #Politics #Funny #October #0FakeNews	-0.0516	negative
2024-10-26 17:11:44	este artculo de kikollan et al resume muy bien como estn las cosas en presidenciales estadounidenses trump ha recortado bastante la ventaja harris el voto popular dado que le beneficia sistema electoral ya es ligeramente favorito	#Trump #Harris	0.6369	positive
2024-10-26 17:11:44	si aparte de los delegados que ya tiene casi asegurados trump gana arizona georgia carolina del norte donde lleva ventaja en las encuestas suma la presidencia harris tendra ganar tanto michigan como wisconsin pensilvania todos muy ajustados	#Trump #Harris	0.0	neutral
2024-10-26 17:13:14	im hoping stirs relative handful numbnuts happy harris isnt perfect going vote rd party flake wake eff	#Harris	0.7353	positive
2024-10-26 17:14:03	campaigns strategic fight raising money spending right places year candidate crazy amount swing states specifically pennsylvania election could well come trump harris	#pennsylvania #election2024 #election #trump #harris	-0.4404	negative
2024-10-26 17:14:12	mondepaix plus quen harris oui	#Harris	0.0	neutral
2024-10-26 17:14:26	weirdest thing conservatives straight radical harris liberal voters trump president campaign election electioninfo facts truth lol funny great n genetics science	#Weirdest #Conservatives #radical #harris #liberal #voters #Trump2024 #trump #president #campaign #election #electioninfo #facts #truth #lol #funny #great #DNA #genetics #science	0.9022	positive
2024-10-26 17:14:32	lastampa lo capisce beyonc che con unidiota come la harris una guerra nucleare sempre pi vicina	#Beyoncè #Harris	0.0	neutral
2024-10-26 17:16:35	michelleobama kamalaharris good harris yrkkh b	#Harris #yrkkh #BB18	0.4404	positive
2024-10-26 17:17:01	amuse ghouls harris	#Ghouls #Harris	0.4019	positive
2024-10-26 17:17:26	harris replaced biden democrats behind polling places walz even trump puts ahead hillary hillarys mistake complaining end say put effort win	#Harris #Democrats #Harris_Walz2024	0.1531	positive
2024-10-26 17:17:30	breaking machomala guarantees victory sunday hulk trump harris news politics funny october fake mrreaganusa cartierfamilyz	#Machomala #Sunday #HulkTrump #Trump #Harris #News #Politics #Funny #October #0FakeNews	-0.0516	negative
